data,valor
2014-01-01,63.93
2014-02-01,78.13
2014-03-01,71.74
2014-04-01,78.13
2014-05-01,72.45
2014-06-01,65.35
2014-07-01,67.48
2014-08-01,85.94
2014-09-01,88.07
2014-10-01,79.55
2014-11-01,79.55
2014-12-01,78.84
2015-01-01,70.32
2015-02-01,73.16
2015-03-01,68.9
2015-04-01,58.24
2015-05-01,56.11
2015-06-01,61.08
2015-07-01,53.27
2015-08-01,55.4
2015-09-01,58.24
2015-10-01,57.53
2015-11-01,58.95
2015-12-01,54.69
2016-01-01,53.98
2016-02-01,47.59
2016-03-01,41.91
2016-04-01,44.75
2016-05-01,36.22
2016-06-01,38.36
2016-07-01,30.54
2016-08-01,33.38
2016-09-01,38.36
2016-10-01,46.17
2016-11-01,35.51
2016-12-01,41.2
2017-01-01,34.09
2017-02-01,31.96
2017-03-01,42.62
2017-04-01,34.8
2017-05-01,31.25
2017-06-01,31.25
2017-07-01,35.51
2017-08-01,56.82
2017-09-01,57.53
2017-10-01,61.79
2017-11-01,51.14
2017-12-01,27.7
2018-01-01,30.54
2018-02-01,30.54
2018-03-01,31.96
2018-04-01,24.86
2018-05-01,18.47
2018-06-01,21.31
2018-07-01,22.02
2018-08-01,47.59
2018-09-01,41.2
2018-10-01,23.44
2018-11-01,24.15
2018-12-01,24.15
2019-01-01,22.02
2019-02-01,27.7
2019-03-01,23.44
2019-04-01,24.86
2019-05-01,22.73
2019-06-01,19.89
