data,valor
2014-01-01,387.81
2014-02-01,410.54
2014-03-01,384.26
2014-04-01,420.49
2014-05-01,402.02
2014-06-01,385.68
2014-07-01,394.21
2014-08-01,400.6
2014-09-01,421.91
2014-10-01,432.56
2014-11-01,394.92
2014-12-01,452.45
2015-01-01,416.94
2015-02-01,372.19
2015-03-01,362.95
2015-04-01,375.03
2015-05-01,344.49
2015-06-01,363.66
2015-07-01,360.11
2015-08-01,345.91
2015-09-01,360.11
2015-10-01,365.8
2015-11-01,353.01
2015-12-01,414.8
2016-01-01,349.46
2016-02-01,389.23
2016-03-01,392.79
2016-04-01,388.52
2016-05-01,360.82
2016-06-01,366.51
2016-07-01,362.24
2016-08-01,373.61
2016-09-01,389.94
2016-10-01,380.71
2016-11-01,402.73
2016-12-01,443.93
2017-01-01,391.37
2017-02-01,413.38
2017-03-01,415.51
2017-04-01,397.05
2017-05-01,398.47
2017-06-01,409.12
2017-07-01,389.94
2017-08-01,388.52
2017-09-01,380.71
2017-10-01,372.19
2017-11-01,373.61
2017-12-01,405.57
2018-01-01,356.56
2018-02-01,365.08
2018-03-01,381.42
2018-04-01,366.51
2018-05-01,322.47
2018-06-01,342.36
2018-07-01,315.37
2018-08-01,336.67
2018-09-01,313.94
2018-10-01,321.05
2018-11-01,328.15
2018-12-01,363.66
2019-01-01,328.86
2019-02-01,344.49
2019-03-01,327.44
2019-04-01,347.33
2019-05-01,330.28
2019-06-01,321.05
2019-07-01,363.66
2019-08-01,364.37
2019-09-01,358.69
2019-10-01,372.9
2019-11-01,372.9
2019-12-01,396.34
2020-01-01,355.14
2020-02-01,367.93
2020-03-01,305.42
2020-04-01,272.04
2020-05-01,286.24
2020-06-01,315.37
2020-07-01,334.54
2020-08-01,328.86
2020-09-01,357.27
2020-10-01,384.97
2020-11-01,390.66
2020-12-01,426.88
2021-01-01,376.45
2021-02-01,352.3
2021-03-01,323.89
2021-04-01,321.76
2021-05-01,350.17
2021-06-01,397.76
2021-07-01,420.49
2021-08-01,416.94
2021-09-01,439.66
2021-10-01,430.43
2021-11-01,422.62
2021-12-01,458.13
2022-01-01,367.22
2022-02-01,409.83
2022-03-01,368.64
2022-04-01,375.74
2022-05-01,384.26
2022-06-01,367.22
2022-07-01,396.34
2022-08-01,426.88
2022-09-01,439.66
2022-10-01,431.85
2022-11-01,431.85
2022-12-01,488.67
2023-01-01,418.36
2023-02-01,465.23
2023-03-01,433.98
2023-04-01,420.49
2023-05-01,461.68
2023-06-01,441.09
2023-07-01,420.49
2023-08-01,431.85
2023-09-01,425.46
2023-10-01,413.38
2023-11-01,425.46
2023-12-01,458.84
